company_name,website,country,city,type,notes
Balanced Body,https://www.balancedbody.com,United States,Sacramento CA,Distributor/Manufacturer,Líder global Pilates
P.E.Pilates,https://pepilates.com,United States,Los Angeles CA,Distributor/OEM,OEM Pilates
Metflex,https://metflexfitness.com,United States,Los Angeles CA,Distributor/OEM,Fitness wholesale
Jaalee Fit,https://jaaleefit.com,United States,Los Angeles CA,Distributor/Manufacturer,Pilates equipment
WellReformer,https://wellreformer.com,United States,Los Angeles CA,Distributor,Reformer specialist
Cunruope,https://cunruope.com,United States,Los Angeles CA,Wholesaler,Fitness wholesale
Gofitstrength,https://gofitstrength.com,United States,Multiple,Manufacturer/Exporter,Fitness equipment
Expert Fitness Supply,https://expertfitnesssupply.com,United States,USA,Distributor,Fitness wholesale
Body-Solid Inc,https://bodysolid.com,United States,Forest Park IL,Manufacturer/Distributor,Sporting goods
Vitality 4 Life UK,https://www.vitality4life.co.uk,United Kingdom,Peterborough,Distributor,Wellness equipment
Jordan Fitness,https://www.jordanfitness.com,United Kingdom,King's Lynn,Distributor,Fitness equipment
Athleticum Fitness,https://www.athleticum.co.uk,United Kingdom,UK,Premium Distributor,High-end fitness
Gem Imports Ltd,https://www.gemimports.co.uk,United Kingdom,Barnsley,Importer/Wholesaler,Fitness import
FFittech UK,https://www.ffittech.co.uk,United Kingdom,Nottingham,Distributor,Fitness equipment
Sport-Tiedje,https://www.sport-tiedje.de,Germany,Hamburg,Distributor,Maior distribuidor Europa
Fitnesswelt,https://www.fitnesswelt.de,Germany,Multiple,Distributor,Fitness wholesale
Perform Better,https://www.perform-better.de,Germany,Multiple,Distributor,Performance equipment
Club Pilates Germany,https://www.clubpilates.com.de,Germany,Multiple,Chain/Wholesale,Rede Pilates
Elina Pilates,https://www.elinapilates.com.au,Australia,Australia,Manufacturer/Distributor,Fabricante Pilates
Active & Agile,https://activeandagile.com.au,Australia,Australia,Distributor,Pilates equipment
Merrithew STOTT Pilates,https://www.merrithew.com,Canada,Toronto,Manufacturer/Global Distributor,Líder mundial Pilates
Fitness Depot,https://www.fitnessdepot.ca,Canada,Multiple,Distributor,Fitness wholesale Canada
Tonic Performance,https://tonicperformance.ca,Canada,Canada,Distributor,Performance equipment
Fitness First Middle East,https://fitnessfirstme.com,United Arab Emirates,Dubai,Chain/Wholesale,Rede fitness
GymNation,https://gymnation.com,United Arab Emirates,Dubai UAE,Chain/Wholesale,Rede fitness
Decathlon Pro,https://www.decathlonpro.fr,France,France,B2B Distributor,Wholesale sports
Technogym France,https://www.technogym.com/fr,France,France,Distributor,Premium fitness
Salter Spain,https://www.salter.es,Spain,Spain,Distributor,Fitness equipment
Technogym Italia,https://www.technogym.com,Italy,Cesena,Manufacturer/Global Distributor,Líder mundial fitness
Fitwinkel,https://www.fitwinkel.nl,Netherlands,Netherlands,Distributor,Fitness equipment
Wild Fit,https://wildfit.jp,Japan,Tokyo,Distributor,Fitness equipment Japan
Fitness Concept,https://fitnessconcept.com.sg,Singapore,Singapore,Distributor,Premium fitness
Fitness Zone Mexico,https://fitnesszone.com.mx,Mexico,Mexico,Distributor,Fitness wholesale
Sport Systems,https://sportsystems.com.mx,Mexico,Mexico City,Distributor,Sporting goods
Sportlife Chile,https://sportlife.cl,Chile,Santiago,Distributor,Fitness equipment
Gym Company,https://gymcompany.com.co,Colombia,Colombia,Distributor,Fitness wholesale
Fitness Sklep,https://fitness-sklep.pl,Poland,Poland,Distributor,Fitness equipment
Gratz Industries,https://www.gratzindustries.com,United States,New York,Manufacturer,Authentic Pilates
Peak Pilates,https://www.peakpilates.com,United States,Colorado,Manufacturer/Distributor,Pilates equipment
Stamina Products,https://www.staminaproducts.com,United States,Missouri,Manufacturer/Distributor,Home fitness/Pilates
Aero Pilates,https://www.aeropilates.com,United States,USA,Manufacturer,Pilates reformers
Align-Pilates,https://www.align-pilates.com,United Kingdom,UK,Manufacturer/Distributor,Pilates equipment UK
Core Balance,https://www.corebalance.co.uk,United Kingdom,UK,Distributor,Fitness/Pilates UK
Pilates-Mad,https://www.pilates-mad.com,United Kingdom,UK,Distributor,Pilates accessories
Mad-HQ,https://www.mad-hq.com,United Kingdom,Basingstoke,Distributor,Fitness equipment
Escape Fitness,https://www.escapefitness.com,United Kingdom,UK,Manufacturer/Distributor,Commercial fitness
Empower Pilates,https://www.empowerpilates.com.au,Australia,Australia,Distributor,Pilates equipment AU
Pilates International,https://pilatesinternational.com.au,Australia,Australia,Distributor,Pilates wholesale
Studio Pilates International,https://www.studiopilates.com,Australia,Australia,Chain/Equipment,Maior rede Pilates AU
Reformer Pilates Plus,https://www.reformerpilatesplus.com.au,Australia,Australia,Equipment supplier,Pilates equipment

